city_name,lat,lon,province,island,timezone,elevation_m,population
"Kabupaten Bangka Tengah",-2.33989,106.1142,"Kepulauan Bangka Belitung","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Bangka Selatan",-2.66803,106.01257,"Kepulauan Bangka Belitung","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Belitung Timur",-2.9627,108.15216,"Kepulauan Bangka Belitung","Sumatera","Asia/Jakarta",10,100000
"Kota Pangkal Pinang",-2.13333,106.13333,"Kepulauan Bangka Belitung","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Karimun",0.80764,103.41911,"Kepulauan Riau","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Bintan",0.95,104.61944,"Kepulauan Riau","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Natuna",4.71417,107.97639,"Kepulauan Riau","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Lingga",0.2,104.61667,"Kepulauan Riau","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Kepulauan Anambas",3.0,106.0,"Kepulauan Riau","Sumatera","Asia/Jakarta",10,100000
"Kota Batam",1.05211,104.02851,"Kepulauan Riau","Sumatera","Asia/Jakarta",10,100000
"Kota Tanjung Pinang",0.91683,104.44329,"Kepulauan Riau","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Kepulauan Seribu",-5.5985,106.55271,"Dki Jakarta","Jawa","Asia/Jakarta",10,100000
"Kota Jakarta Selatan",-6.266,106.8135,"Dki Jakarta","Jawa","Asia/Jakarta",10,100000
"Kota Jakarta Timur",-6.2521,106.884,"Dki Jakarta","Jawa","Asia/Jakarta",10,100000
"Kota Jakarta Pusat",-6.1777,106.8403,"Dki Jakarta","Jawa","Asia/Jakarta",10,100000
"Kota Jakarta Barat",-6.1676,106.7673,"Dki Jakarta","Jawa","Asia/Jakarta",10,100000
"Kota Jakarta Utara",-6.1339,106.8823,"Dki Jakarta","Jawa","Asia/Jakarta",10,100000
"Kabupaten Bogor",-6.58333,106.71667,"Jawa Barat","Jawa","Asia/Jakarta",10,100000
"Kabupaten Sukabumi",-7.06667,106.7,"Jawa Barat","Jawa","Asia/Jakarta",10,100000
"Kabupaten Cianjur",-6.7725,107.08306,"Jawa Barat","Jawa","Asia/Jakarta",10,100000
"Kabupaten Bandung",-7.1,107.6,"Jawa Barat","Jawa","Asia/Jakarta",10,100000
"Kabupaten Garut",-7.38333,107.76667,"Jawa Barat","Jawa","Asia/Jakarta",10,100000
"Kabupaten Tasikmalaya",-7.5,108.13333,"Jawa Barat","Jawa","Asia/Jakarta",10,100000
"Kabupaten Ciamis",-7.28333,108.41667,"Jawa Barat","Jawa","Asia/Jakarta",10,100000
"Kabupaten Kuningan",-7.0,108.55,"Jawa Barat","Jawa","Asia/Jakarta",10,100000
"Kabupaten Cirebon",-6.8,108.56667,"Jawa Barat","Jawa","Asia/Jakarta",10,100000
"Kabupaten Majalengka",-6.81667,108.28333,"Jawa Barat","Jawa","Asia/Jakarta",10,100000
"Kabupaten Sumedang",-6.81667,107.98333,"Jawa Barat","Jawa","Asia/Jakarta",10,100000
"Kabupaten Indramayu",-6.45,108.16667,"Jawa Barat","Jawa","Asia/Jakarta",10,100000
"Kabupaten Subang",-6.50833,107.7025,"Jawa Barat","Jawa","Asia/Jakarta",10,100000
"Kabupaten Purwakarta",-6.58333,107.45,"Jawa Barat","Jawa","Asia/Jakarta",10,100000
"Kabupaten Karawang",-6.26667,107.41667,"Jawa Barat","Jawa","Asia/Jakarta",10,100000
"Kabupaten Bekasi",-6.24667,107.10833,"Jawa Barat","Jawa","Asia/Jakarta",10,100000
"Kabupaten Bandung Barat",-6.83333,107.48333,"Jawa Barat","Jawa","Asia/Jakarta",10,100000
"Kabupaten Pangandaran",-7.6673,108.64037,"Jawa Barat","Jawa","Asia/Jakarta",10,100000
"Kota Bogor",-6.59167,106.8,"Jawa Barat","Jawa","Asia/Jakarta",10,100000
"Kota Sukabumi",-6.95,106.93333,"Jawa Barat","Jawa","Asia/Jakarta",10,100000
"Kota Bandung",-6.9175,107.62444,"Jawa Barat","Jawa","Asia/Jakarta",10,100000
"Kota Cirebon",-6.75,108.55,"Jawa Barat","Jawa","Asia/Jakarta",10,100000
"Kota Bekasi",-6.28333,106.98333,"Jawa Barat","Jawa","Asia/Jakarta",10,100000
"Kota Depok",-6.4,106.81667,"Jawa Barat","Jawa","Asia/Jakarta",10,100000
"Kota Cimahi",-6.89167,107.55,"Jawa Barat","Jawa","Asia/Jakarta",10,100000
